,album_title,year,rank
0,My Name Is My Name,2013,50
1,Loud City Song,2013,49
2,Major Arcana,2013,48
3,Nonfiction,2013,47
4,Matangi,2013,46
5,Slow Focus,2013,45
6,The 20/20 Experience,2013,44
7,Trouble Will Find Me,2013,43
8,Woman,2013,42
9,Love's Crushing Diamond,2013,41
10,Light Up Gold,2013,40
11,LongLiveA$AP,2013,39
12,Tomorrow's Harvest,2013,38
13,Immunity,2013,37
14,The Bones of What You Believe,2013,36
15,Muchacho,2013,35
16,Engravings,2013,34
17,Truant / Rough Sleeper,2013,33
18,Amygdala,2013,32
19,Anxiety,2013,31
20,Monomania,2013,30
21,Excavation,2013,29
22,Run the Jewels,2013,28
23,"The Worse Things Get, the Harder I Fight...",2013,27
24,Overgrown,2013,26
25,Nothing Was the Same,2013,25
26,R Plus Seven,2013,24
27,Double Cup,2013,23
28,Cerulean Salt,2013,22
29,Cupid Deluxe,2013,21
30,Jai Paul,2013,20
31,Doris,2013,19
32,The Electric Lady,2013,18
33,Days Are Gone,2013,17
34,Dream River,2013,16
35,"Night Time, My Time",2013,15
36,Shaking the Habitual,2013,14
37,Wakin on a Pretty Daze,2013,13
38,Acid Rap,2013,12
39,Psychic,2013,11
40,Reflektor,2013,10
41,Silence Yourself,2013,9
42,Impersonator,2013,8
43,Random Access Memories,2013,7
44,Sunbather,2013,6
45,Old,2013,5
46,m b v,2013,4
47,Settle,2013,3
48,Yeezus,2013,2
49,Modern Vampires of the City,2013,1
50,A U R O R A,2014,50
51,Mr Twin Sister,2014,49
52,Clark,2014,48
53,Dude Incredible,2014,47
54,My Everything,2014,46
55,Faith in Strangers,2014,45
56,Sea When Absent,2014,44
57,Piñata,2014,43
58,In Conflict,2014,42
59,Music for the Uninvited,2014,41
60,Manipulator,2014,40
61,More Than Any Other Day,2014,39
62,The Moon Rang Like A Bell,2014,38
63,Say Yes to Love,2014,37
64,Aquarius,2014,36
65,Lese Majesty,2014,35
66,Here and Nowhere Else,2014,34
67,Tha Tour Part 1,2014,33
68,Deep Fantasy,2014,32
69,1989,2014,31
70,Plowing Into the Field of Love,2014,30
71,"""What Is This Heart?""",2014,29
72,Bestial Burden,2014,28
73,My Krazy Life,2014,27
74,Rips,2014,26
75,Broke With Expensive Taste,2014,25
76,Sunbathing Animal,2014,24
77,I Never Learn,2014,23
78,Singles,2014,22
79,High Life,2014,21
80,Hell Can Wait EP,2014,20
81,Are We There,2014,19
82,Xen,2014,18
83,You're Dead!,2014,17
84,St. Vincent,2014,16
85,Burn Your Fire for No Witness,2014,15
86,Atlas,2014,14
87,They Want My Soul,2014,13
88,Salad Days,2014,12
89,Too Bright,2014,11
90,Our Love,2014,10
91,Pom Pom,2014,9
92,It's Album Time,2014,8
93,Benji,2014,7
94,To Be Kind,2014,6
95,Ruins,2014,5
96,Syro,2014,4
97,Lost in the Dream,2014,3
98,LP1,2014,2
99,Run the Jewels 2,2014,1
100,Blackheart,2015,50
101,Natalie Prass,2015,49
102,Ratchet,2015,48
103,DJ-Kicks,2015,47
104,Goon,2015,46
105,Simple Songs,2015,45
106,Reality Show,2015,44
107,Poison Season,2015,43
108,"Apocalypse, girl",2015,42
109,Late Nights: The Album,2015,41
110,Dark Energy,2015,40
111,Platform,2015,39
112,Mutant,2015,38
113,Me,2015,37
114,Unbreakable,2015,36
115,VEGA INTL. Night School,2015,35
116,E•MO•TION,2015,34
117,A New Place 2 Drown,2015,33
118,Compton,2015,32
119,Hallucinogen EP,2015,31
120,Fading Frontier,2015,30
121,SremmLife,2015,29
122,Depression Cherry,2015,28
123,No Cities to Love,2015,27
124,New Bermuda,2015,26
125,"I Don't Like Shit, I Don't Go Outside",2015,25
126,The Beyond / Where the Giants Roam,2015,24
127,b’lieve i’m goin down,2015,23
128,Panda Bear Meets the Grim Reaper,2015,22
129,Surf,2015,21
130,Elaenia,2015,20
131,Dirty Sprite 2,2015,19
132,Have You In My Wilderness,2015,18
133,If You’re Reading This It’s Too Late,2015,17
134,M3LL155X,2015,16
135,Vulnicura,2015,15
136,Barter 6,2015,14
137,Divers,2015,13
138,"I Love You, Honeybear",2015,12
139,Garden of Delete,2015,11
140,The Epic,2015,10
141,"Sometimes I Sit and Think, and Sometimes I Just Sit",2015,9
142,Wildheart,2015,8
143,Black Messiah,2015,7
144,Carrie & Lowell,2015,6
145,Currents,2015,5
146,Summertime '06,2015,4
147,Art Angels,2015,3
148,In Colour,2015,2
149,To Pimp a Butterfly,2015,1
150,Savage Mode,2016,50
151,Pool,2016,49
152,Next Thing,2016,48
153,A Good Night in the Ghetto,2016,47
154,Cardinal,2016,46
155,Modern Country,2016,45
156,Islah,2016,44
157,Front Row Seat to Earth,2016,43
158,Prima Donna,2016,42
159,For Those Of You Who Have Never (And Also Those Who Have),2016,41
160,A Cosmic Rhythm With Each Stroke,2016,40
161,DJ-Kicks,2016,39
162,Blank Face LP,2016,38
163,We Are KING,2016,37
164,HEAVN,2016,36
165,I Had a Dream That You Were Mine,2016,35
166,Singing Saw,2016,34
167,blackSUMMERS’night,2016,33
168,A Mulher do Fim do Mundo (The Woman at the End of the World),2016,32
169,Light Upon the Lake,2016,31
170,Emily’s D+Evolution,2016,30
171,EARS,2016,29
172,Yes Lawd!,2016,28
173,Telefone,2016,27
174,Human Performance,2016,26
175,99.9%,2016,25
176,Teens of Denial,2016,24
177,Blood Bitch,2016,23
178,Still Brazy,2016,22
179,JEFFERY,2016,21
180,Sirens,2016,20
181,ANTI,2016,19
182,Puberty 2,2016,18
183,You Want It Darker,2016,17
184,untitled unmastered.,2016,16
185,Skeleton Tree,2016,15
186,Freetown Sound,2016,14
187,Malibu,2016,13
188,"22, A Million",2016,12
189,Atrocity Exhibition,2016,11
190,A Moon Shaped Pool,2016,10
191,My Woman,2016,9
192,Hopelessness,2016,8
193,We got it from Here... Thank You 4 Your service,2016,7
194,Coloring Book,2016,6
195,The Life of Pablo,2016,5
196,Blackstar,2016,4
197,Lemonade,2016,3
198,Blonde,2016,2
199,A Seat at the Table,2016,1
200,EP/EP2,2017,50
201,Brick Body Kids Still Daydream,2017,49
202,Rocket,2017,48
203,SweetSexySavage,2017,47
204,Dust,2017,46
205,Powerplant,2017,45
206,The Kid,2017,44
207,Black Ken,2017,43
208,Infinite Worlds,2017,42
209,Okovi,2017,41
210,I See You,2017,40
211,Crack-Up,2017,39
212,More Life,2017,38
213,Not Even Happiness,2017,37
214,Fin,2017,36
215,Playboi Carti,2017,35
216,Love What Survives,2017,34
217,Kelly Lee Owens,2017,33
218,Lust for Life,2017,32
219,Harmony of Difference EP,2017,31
220,Slowdive,2017,30
221,Run the Jewels 3,2017,29
222,Ash,2017,28
223,HNDRXX,2017,27
224,Everybody Works,2017,26
225,Nothing Feels Natural,2017,25
226,Drunk,2017,24
227,Capacity,2017,23
228,Masseduction,2017,22
229,Arca,2017,21
230,Utopia,2017,20
231,Culture,2017,19
232,Turn Out the Lights,2017,18
233,Rest,2017,17
234,No Shape,2017,16
235,Process,2017,15
236,A Crow Looked at Me,2017,14
237,4:44,2017,13
238,American Dream,2017,12
239,A Deeper Understanding,2017,11
240,Black Origami,2017,10
241,Plunge,2017,9
242,Flower Boy,2017,8
243,Big Fish Theory,2017,7
244,Aromanticism,2017,6
245,Melodrama,2017,5
246,Take Me Apart,2017,4
247,The OOZ,2017,3
248,Ctrl,2017,2
249,DAMN.,2017,1
250,Gangin,2018,50
251,Overload,2018,49
252,Heaven and Earth,2018,48
253,Compro,2018,47
254,Negro Swan,2018,46
255,Wanderer,2018,45
256,How to Socialise & Make Friends,2018,44
257,The Sciences,2018,43
258,abysskiss,2018,42
259,MihTy,2018,41
260,Beyondless,2018,40
261,Hive Mind,2018,39
262,Isolation,2018,38
263,Veteran,2018,37
264,Nasty,2018,36
265,2012 - 2017,2018,35
266,Broken Politics,2018,34
267,MUDBOY,2018,33
268,I’m All Ears,2018,32
269,Tranquility Base Hotel & Casino,2018,31
270,Chris,2018,30
271,boygenius EP,2018,29
272,Ordinary Corrupt Human Love,2018,28
273,Clean,2018,27
274,FM!,2018,26
275,Die Lit,2018,25
276,Aviary,2018,24
277,Astroworld,2018,23
278,In a Poem Unlimited,2018,22
279,A Brief Inquiry Into Online Relationships,2018,21
280,7,2018,20
281,Invasion of Privacy,2018,19
282,OIL OF EVERY PEARL’s UN-INSIDES,2018,18
283,Daytona,2018,17
284,Singularity,2018,16
285,Room 25,2018,15
286,Freedom,2018,14
287,Devotion,2018,13
288,Ephorize,2018,12
289,Sweetener,2018,11
290,Safe in the Hands of Love,2018,10
291,Whack World,2018,9
292,Double Negative,2018,8
293,Some Rap Songs,2018,7
294,El Mal Querer,2018,6
295,Lush,2018,5
296,Honey,2018,4
297,Knock Knock,2018,3
298,Golden Hour,2018,2
299,Be the Cowboy,2018,1
