elect_dist,Year,Winner,Vote Share Margin
61034,2018,R,0.1971
61035,2018,R,0.0303
61036,2018,R,0.0695
61041,2018,R,0.2360
61042,2018,R,0.0545
61043,2018,R,0.1085
61045,2018,R,0.1496
61046,2018,R,0.0255
61047,2018,R,0.2014
61048,2018,R,0.2640
63035,2018,R,0.2590
63059,2018,R,0.0160
63062,2018,R,0.2069
63063,2018,R,0.1403
63064,2018,R,0.2066
63065,2018,R,0.0058
63066,2018,R,0.1115
63067,2018,R,0.0904
63072,2018,R,0.0106
63081,2018,R,0.0887
61034,2016,R,0.4743
61035,2016,R,0.5762
61036,2016,R,0.4731
61041,2016,R,0.4583
61042,2016,R,0.3805
61043,2016,R,0.4147
61045,2016,R,0.5151
61046,2016,R,0.4246
61047,2016,R,0.5066
61048,2016,R,0.5515
63035,2016,R,0.5755
63059,2016,R,0.4118
63062,2016,R,0.5100
63063,2016,R,0.4919
63064,2016,R,0.5079
63065,2016,R,0.3947
63066,2016,R,0.4583
63067,2016,R,0.5166
63072,2016,R,0.3790
63081,2016,R,0.3913